Rank,Symbol,Rating,Name,Score,3 Months Perf,Creation date
987,NLOK,BB,NortonLifeLock Inc. - Common Stock,97.289,-1.34,12/17/2020
988,PATK,BB,"Patrick Industries, Inc. - Common Stock",97.287,22.01,12/18/2020
989,GPI,BB,"Group 1 Automotive, Inc. Common Stock",97.282,36.06,12/2/2020
990,HXL,BB,Hexcel Corporation Common Stock,97.266,28.37,12/17/2020
991,RGEN,BB,Repligen Corporation - Common Stock,97.255,35.93,11/18/2020
992,IDCC,BB,"InterDigital, Inc. - Common Stock",97.253,5.36,12/18/2020
993,WES,BB,"Western Gas Partners, LP Limited Partner Interest",97.248,86.79,12/15/2020
994,SWTX,BB,"SpringWorks Therapeutics, Inc. - common stock",97.245,75.34,12/15/2020
995,MDLA,BB,"Medallia, Inc. Common Stock",97.243,37.92,12/13/2020
996,LUMN,BB,"CenturyLink, Inc. Common Stock",97.235,0.35,12/16/2020
997,ARCB,BB,ArcBest Corporation - Common Stock,97.233,38.6,12/16/2020
998,TPH,BB,"TRI Pointe Group, Inc. Common Stock",97.225,-3.81,12/16/2020
999,HRMY,BB,"Harmony Biosciences Holdings, Inc. - Common Stock",97.224,0.13,12/18/2020
1000,XPO,BB,"XPO Logistics, Inc.",97.221,37.61,12/17/2020
1002,ILMN,BB,"Illumina, Inc. - Common Stock",97.211,22.27,11/5/2020
1001,NBL,BB,Noble Energy Inc. Common Stock,97.211,-8.84,12/15/2020
1003,WIX,BB,Wix.com Ltd. - Ordinary Shares,97.209,8.06,12/16/2020
1004,DNB,BB,Dun & Bradstreet Corporation (The) Common Stock,97.205,7.8,11/21/2020
1005,ADPT,BB,Adaptive Biotechnologies Corporation - Common Sto,97.198,24.95,12/16/2020
1006,EA,BB,Electronic Arts Inc. - Common Stock,97.192,7.43,12/15/2020
1007,FORM,BB,"FormFactor, Inc. - Common Stock",97.184,77.84,12/4/2020
1008,STLD,BB,"Steel Dynamics, Inc. - Common Stock",97.178,31.39,12/18/2020
1009,HUBS,BB-,"HubSpot, Inc. Common Stock",97.175,36.3,12/1/2020
1010,FFIV,BB-,"F5 Networks, Inc. - Common Stock",97.17,40.11,12/18/2020
1011,STEP,BB-,StepStone Group Inc. - Class A Common Stock,97.169,-59.16,12/18/2020
1012,PBCT,BB-,"People's United Financial, Inc. - Common Stock",97.125,22.6,12/18/2020
1013,STRA,BB-,"Strayer Education, Inc. - Common Stock",97.124,5.28,12/17/2020
1014,MFGP,BB-,Micro Focus Intl PLC ADS each representing One Or,97.121,92.66,12/11/2020
1015,BLDR,BB-,"Builders FirstSource, Inc. - Common Stock",97.117,20.49,12/16/2020
1016,PNM,BB-,"PNM Resources, Inc. (Holding Co.) Common Stock",97.113,22.68,12/5/2020
1017,NRIX,BB-,"Nurix Therapeutics, Inc. - Common stock",97.106,32.75,12/17/2020
1018,ibkr,BB-,"Interactive Brokers Group, Inc. - Common Stock",97.106,28.73,12/18/2020
1019,RHP,BB-,"Ryman Hospitality Properties, Inc. (REIT)",97.105,67.11,12/18/2020
1020,TROX,BB-,Tronox Limited Ordinary Shares Class A $0.01 par,97.105,53.62,12/16/2020
1021,WHR,BB-,Whirlpool Corporation Common Stock,97.093,9.9,12/11/2020
1022,NMIH,BB-,NMI Holdings Inc - Common Stock,97.085,30.09,12/17/2020
1023,RMAX,BB-,"RE/MAX Holdings, Inc. Class A Common Stock",97.062,16.41,12/17/2020
1024,PCVX,BB-,"Vaxcyte, Inc. - Common Stock",97.06,-41.3,12/16/2020
1026,QFIN,BB-,"360 Finance, Inc. - American Depositary Shares",97.043,-3.28,12/12/2020
1025,WRK,BB-,Westrock Company Common Stock,97.043,25.87,12/16/2020
1027,JEF,BB-,Jefferies Financial Group Inc. Common Stock,97.025,22.48,12/11/2020
1028,MUSA,BB-,Murphy USA Inc. Common Stock,97.02,-5,12/11/2020
1029,NWE,BB-,NorthWestern Corporation Common Stock,97.018,15.05,12/16/2020
1030,TIF,BB-,Tiffany & Co. Common Stock,97,12.91,12/17/2020
1031,EPC,BB-,Edgewell Personal Care Company Common Stock,96.996,32.32,12/3/2020
1032,SIRI,BB-,Sirius XM Holdings Inc. - Common Stock,96.987,21.06,12/13/2020
1033,BILI,BB-,Bilibili Inc. - American Depositary Shares,96.986,76.21,12/11/2020
1034,DT,BB-,"Dynatrace, Inc. Common Stock",96.97,11.31,12/16/2020
1035,focs,BB-,Focus Financial Partners Inc. - Common Stock,96.943,50.92,12/11/2020
1036,STN,BB-,Stantec Inc Common Stock,96.937,4.23,12/9/2020
1037,FSKR,BB-,FS KKR Capital Corp. II Common Stock,96.936,15.22,12/1/2020
1038,var,BB-,"Varian Medical Systems, Inc. Common Stock",96.932,1.15,11/12/2020
1040,EVBG,BB-,"Everbridge, Inc. - Common Stock",96.916,2.65,12/7/2020
1039,AEM,BB-,Agnico Eagle Mines Limited Common Stock,96.916,-10.93,12/16/2020
1041,JJSF,BB-,J & J Snack Foods Corp. - Common Stock,96.914,18.05,12/2/2020
1042,MU,BB-,"Micron Technology, Inc. - Common Stock",96.885,38.68,12/13/2020
1043,ASB,BB-,Associated Banc-Corp Common Stock,96.883,22.69,12/14/2020
1044,HASI,BB-,Hannon Armstrong Sustainable Infrastructure Capit,96.879,53.58,12/16/2020
1045,TXG,BB-,"10x Genomics, Inc. - common stock",96.878,25.76,12/10/2020
1046,ABMD,BB-,"ABIOMED, Inc. - Common Stock",96.877,6.72,12/6/2020
1047,ENLC,BB-,"EnLink Midstream, LLC Common Units representing L",96.867,45.97,12/7/2020
1048,JCOM,BB-,"j2 Global, Inc. - Common Stock",96.866,23.82,12/16/2020
1049,CRHC,BB-,Cohn Robbins Holdings Corp. Class A Ordinary Shar,96.863,5.73,12/15/2020
1050,JBL,BB-,Jabil Inc. Common Stock,96.857,31.84,12/7/2020
1051,KNX,BB-,"Knight Transportation, Inc. Common Stock",96.849,-1.81,12/6/2020
1052,IIVI,BB-,II-VI Incorporated - Common Stock,96.847,88.75,12/15/2020
1053,GDS,BB-,GDS Holdings Limited - ADS,96.843,34.41,11/17/2020
1054,uvv,BB-,Universal Corporation Common Stock,96.842,17.95,12/16/2020
1055,ALTR,BB-,Altair Engineering Inc. - Class A Common Stock,96.833,36.66,12/11/2020
1056,KMI,BB-,"Kinder Morgan, Inc. Common Stock",96.828,9.34,10/22/2020
1057,WYND,BB-,"Wyndham Destinations, Inc. Common  Stock",96.822,32.29,12/13/2020
1058,LNG,BB-,"Cheniere Energy, Inc. Common Stock",96.819,14.06,12/11/2020
1059,IRTC,BB-,"iRhythm Technologies, Inc. - Common Stock",96.816,3.25,12/17/2020
1060,ALGM,BB-,"Allegro MicroSystems, Inc. - Common Stock",96.807,43.41,12/1/2020
1061,RNG,BB-,"Ringcentral, Inc. Class A Common Stock",96.791,51.46,12/12/2020
1062,PRSP,BB-,Perspecta Inc. Common Stock,96.791,21.41,12/12/2020
1063,DIOD,BB-,Diodes Incorporated - Common Stock,96.786,40.01,12/3/2020
1064,SVMK,BB-,SVMK Inc. - Common Stock,96.774,7.24,12/16/2020
1065,SBUX,BB-,Starbucks Corporation - Common Stock,96.773,21.98,12/7/2020
1066,NBIX,BB-,"Neurocrine Biosciences, Inc. - Common Stock",96.772,-1.29,12/13/2020
1067,NYCB,BB-,"New York Community Bancorp, Inc. Common Stock",96.746,14.27,12/3/2020
1068,ANET,BB-,"Arista Networks, Inc. Common Stock",96.745,41.31,12/8/2020
1069,bhf,BB-,"Brighthouse Financial, Inc. - Common Stock",96.742,22.53,11/26/2020
1070,KR,BB-,Kroger Company (The) Common Stock,96.74,-10.06,12/13/2020
1072,PIPR,BB-,Piper Sandler Companies Common Stock,96.719,42.17,12/17/2020
1071,GIB,BB-,"CGI Group, Inc. Common Stock",96.719,17.13,12/1/2020
1073,VRTX,BB-,Vertex Pharmaceuticals Incorporated - Common Stoc,96.713,-10.87,12/1/2020
1074,ELAN,BB-,Elanco Animal Health Incorporated Common Stock,96.711,13.36,12/15/2020
